"date","keyword","position","url","note"
"2026-05-26","строительная компания краснодар","100+","","not_in_top100"
"2026-05-26","строительная компания сочи","100+","","not_in_top100"
"2026-05-26","строительная компания сириус","100+","","not_in_top100"
"2026-05-26","строительство под ключ краснодар","100+","","not_in_top100"
"2026-05-26","инженерные сети краснодар","error","","{
    ""version"": ""0.1.20260525"",
    ""status_code"": 40104,
    ""status_message"": ""Please verify your account before using the API. You can complete verification in the user panel: https:\/\/app.dataforseo.com\/ ."",
    ""time"": ""0 sec."",
    ""cost"": 0,
    ""tasks_count"": 0,
    ""tasks_error"": 0,
    ""tasks"": null
}"
"2026-05-26","проектирование инженерных сетей краснодар","100+","","not_in_top100"
"2026-05-26","реконструкция зданий краснодарский край","100+","","not_in_top100"
"2026-05-26","строительные проекты краснодарский край","100+","","not_in_top100"
"2026-05-26","генподряд краснодар","100+","","not_in_top100"
"2026-05-26","bim моделирование краснодар","100+","","not_in_top100"
"2026-05-26","цифровой двойник объекта строительство","100+","","not_in_top100"
"2026-05-26","инвестиции в строительство краснодарский край","100+","","not_in_top100"
