"date","query","domain","rank","found_url","top10_urls","error_code","error_message"
"2026-05-26","строительная компания краснодар","stroytrest-23.ru","","","https://yandex.ru/maps/35/krasnodar/category/construction_company/184107633/ | https://realty.yandex.ru/krasnodarskiy_kray/zastroyschiki/ | https://2gis.ru/krasnodar/search/%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D1%80%D0%B0%D0%B9 | https://krasnodar.domclick.ru/zastroishchiki | https://sskuban.ru/ | https://ek-invest.ru/ | https://erzrf.ru/zastroyschiki?region=krasnodarskiy-kray&amp;regionKey=143001001&amp;costType=1&amp;viewMode=table&amp;sortType=cmxrating&amp;scrollTo=viewMode&amp;viewModeDev=list | https://family-yug.ru/ | https://zoon.ru/krasnodar/building/type/stroitelnaya_kompaniya/page-2/ | https://krasdom.ru/organization/list/builder/","",""
"2026-05-26","генподрядчик краснодар","stroytrest-23.ru","","","https://checko.ru/company/genpodryadchik-1132310000888 | https://vsem-podryad.ru/purchases/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D1%80%D0%B0%D0%B9/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D1%8B%20%D0%BF%D0%BE%20%D0%B2%D0%BE%D0%B7%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8E%20%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B9/ | https://www.audit-it.ru/contragent/1132310000888_ooo-genpodryadchik | https://housetop93.ru/ | https://xn--23-6kclg4a0ajodkm.xn--p1ai/ | https://luxuryhomes.ru/krasnodar/uslugi/funkciya-genpodryadchik/ | https://check.tochka.com/company/1032307188682/ | https://depstroy.krasnodar.ru/activity/stroitelstvo/spravochnik-organizatsiy-osushchestvlyayushchikh-stroitelstvo-na-territorii-krasnodarskogo-kraya | https://yandex.ru/maps/org/elmond/204045757594/ | https://krasnodar.str-tech.ru/uslugi/generalnyy-podryad/","",""
"2026-05-26","строительство коммерческих объектов краснодар","stroytrest-23.ru","","","https://www.avito.ru/krasnodar/predlozheniya_uslug?q=%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE+%D0%BA%D0%BE%D0%BC%D0%BC%D0%B5%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85+%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B9 | https://uslugi.yandex.ru/35-krasnodar/category?text=%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE+%D0%BA%D0%BE%D0%BC%D0%BC%D0%B5%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D0%BD%D0%B5%D0%B4%D0%B2%D0%B8%D0%B6%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8 | https://2gis.ru/krasnodar/search/%D0%9A%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%20%D0%BF%D0%BE%20%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D1%83%20%D0%BA%D0%BE%D0%BC%D0%BC%D0%B5%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9%20%D0%BD%D0%B5%D0%B4%D0%B2%D0%B8%D0%B6%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8 | https://krasnodar.komm-stroy.ru/ | https://www.tsk-artel.ru/uslugi/stroitelstvo-kommercheskih-zdanij/ | https://buildsteel.ru/stroitelstvo/kommercheskie-zdaniya/ | https://krsd.maxistroy116.ru/kommercheskie-pomeshheniya/ | https://statis-group.ru/stroitelstvo-zdaniy-i-sooruzheniy/stroitelstvo-kommercheskih-zdanij | https://gsu23.ru/kommercheskoe-i-promyshlennoe-stroitelstvo/ | https://stroi-maxx.ru/stroitelstvo-zhiloj-i-kommercheskoj-nedvizhimosti","",""
"2026-05-26","строительство спортивных объектов краснодар","stroytrest-23.ru","","","https://krd.ru/novosti/glavnye-novosti/stroitelstvo-fokov-i-sportploshchadok-kak-rasshiryalas-sportivnaya-infrastruktura-krasnodara-v-2025-/ | https://zoon.ru/krasnodar/building/type/stroitelstvo_sportivnyh_sooruzhenij_i_ploschadok/ | https://93.ru/text/gorod/2025/08/28/76002886/ | https://krasnodar.toruda.ru/stroitelstvo/sportivnaja-ploshadka/ | https://krasnodar.astekhome.ru/projects/sports-facilities/ | https://krasnodar.sport-ploshadki.ru/stroitelstvo/sportivnye-ploshadki/ | https://ki-news.ru/article/sportivnyj-krasnodar-gde-otkrylis-novye-ploshhadki-i-chto-postroyat-v-2026-godu/ | https://krasnodar.toruda-park.ru/sportivnye-ploshadki/ | https://2gis.ru/krasnodar/search/%D0%A1%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D1%8B%D1%85%20%D1%81%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D0%B5%D0%BD%D0%B8%D0%B9/rubricId/51327 | https://krasnodar.sport-o.com/","",""
"2026-05-26","капитальное строительство краснодар","stroytrest-23.ru","","","https://kapremont23.ru/ | https://2gis.ru/krasnodar/search/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0 | https://www.avito.ru/krasnodar/predlozheniya_uslug/stroitelstvo/stroitelstvo_domov_pod_klyuch-ASgBAgICAkSYC6Cf8QLejw_~nYsD | https://depstroy.krasnodar.ru/ | https://krasnodar.domclick.ru/stroitelstvo-domov/katalog-podriadchikov | https://kck-usadba.ru/ | https://yandex.ru/maps/10995/krasnodar-krai/category/construction_company/184107633/ | https://krasnodar.skbastion.su/ | https://yandex.ru/images/search?text=%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5+%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE+%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80 | https://uslugi.yandex.ru/35-krasnodar/category?text=%D0%BF%D0%BE%D0%B4%D1%80%D1%8F%D0%B4%D0%BD%D1%8B%D0%B5+%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8+%D0%BF%D0%BE+%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D1%83","",""
"2026-05-26","инжиниринг в строительстве краснодар","stroytrest-23.ru","","","https://novoeng.com/ | https://yandex.ru/maps/org/stroyinzhiniring/109050242291/ | https://kubanstroi.ru/ | https://sormax.com/ | https://petrax.ru/ | https://uslugi.yandex.ru/35-krasnodar/category?text=%D0%B8%D0%BD%D0%B6%D0%B8%D0%BD%D0%B8%D1%80%D0%B8%D0%BD%D0%B3 | https://project-bau.ru/ | https://azimut-e.ru/ | https://2gis.ru/krasnodar/search/%D0%98%D0%BD%D0%B6%D0%B8%D0%BD%D0%B8%D1%80%D0%B8%D0%BD%D0%B3%D0%BE%D0%B2%D1%8B%D0%B5%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8/rubricId/703 | https://yandex.ru/images/search?text=%D0%B8%D0%BD%D0%B6%D0%B8%D0%BD%D0%B8%D1%80%D0%B8%D0%BD%D0%B3+%D0%B2+%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B5+%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80","",""
"2026-05-26","строительство под ключ краснодар","stroytrest-23.ru","","","https://www.avito.ru/krasnodar/predlozheniya_uslug/stroitelstvo/stroitelstvo_domov_pod_klyuch-ASgBAgICAkSYC6Cf8QLejw_~nYsD | https://krasnodar.domclick.ru/stroitelstvo-domov/s-kommunikaciyami-i-otdelkoj | https://xn--23-1lc1a.xn--p1ai/ | https://dom-stroy93.ru/ | https://domstroy93.ru/proekty/v-ipoteku/ | https://uslugi.yandex.ru/35-krasnodar/category?text=%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE+%D0%B4%D0%BE%D0%BC%D0%BE%D0%B2+%D0%BF%D0%BE%D0%B4+%D0%BA%D0%BB%D1%8E%D1%87 | https://kapitaldom.com/ | https://krasnodar.stroitelstvo-domov-pod-klyuch.ru/proekty/vse | https://kubankarkas.ru/catalog/karkasnye-doma-dlya-postoyannogo-prozhivaniya/ | https://dom-davinci.ru/","",""
"2026-05-26","промышленное строительство краснодар","stroytrest-23.ru","","","https://2gis.ru/krasnodar/search/%D0%9F%D1%80%D0%BE%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5%20%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20(%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D1%80%D0%BE%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D1%85%20%D0%BE%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BE%D0%B2%2C%20%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D0%BE%D0%B2)/rubricId/700 | https://yandex.ru/maps/35/krasnodar/category/industrial_construction/184107619/ | https://zoon.ru/krasnodar/building/type/promyshlennoe_stroitelstvo/page-2/ | https://statis-group.ru/stroitelstvo-zdaniy-i-sooruzheniy/stroitelstvo-promishlennyh-zdaniy | https://www.orgpage.ru/krasnodarskiy-kray/promyshlennoe-stroitelstvo/ | https://xn--c1ahftbjgdf9jb.xn--p1ai/ | https://checko.ru/company/promyshlennoe-stroitelstvo-1042305690756 | https://krasnodar.astekhome.ru/projects/industrial-buildings/ | https://krasnodar.ecsiz.ru/uslugi/stroitelstvo/stroitelstvo-promyshlennyh-obektov | https://buildsteel.ru/stroitelstvo/promyshlennost/","",""
"2026-05-26","проектирование и строительство краснодар","stroytrest-23.ru","","","https://www.avito.ru/krasnodar/predlozheniya_uslug?q=%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5+%D0%B4%D0%BE%D0%BC%D0%BE%D0%B2 | https://yandex.ru/maps/35/krasnodar/category/design_institute/184107419/ | https://uslugi.yandex.ru/35-krasnodar/category?text=%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%BD%D1%8B%D0%B5+%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8 | https://2gis.ru/krasnodar/search/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%BD%D1%8B%D0%B5%20%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8 | https://zoon.ru/krasnodar/building/type/arhitekturno-stroitelnoe_proektirovanie/ | https://www.tsk-artel.ru/ | https://kapitaldom.com/uslugi/proektirovanie-domov/ | https://project-bau.ru/ | https://petrax.ru/ | https://krgp.ru/","",""
"2026-05-26","строительная компания полного цикла краснодар","stroytrest-23.ru","","","https://xn----7sbabal1dyai.xn--p1ai/ | https://smena.group/ | https://adcstroy.ru/ | https://awckrd.ru/ | https://dom-legus.ru/ | https://sps-krd.ru/ | https://sk-sreda.ru/o-kompanii/ | https://xn--23-1lc1a.xn--p1ai/ | https://nikastroidom.ru/ | https://www.ccnova.ru/krd/","",""
